ID,RootVolume,Genotype,Stage,FolderName,PlantNumber,ImagePaths_L,ImagePaths_R,Layers_L,Layers_R
ID_140931_Eidoxm,3.1,TMEB419,Early,Lwuwokuhrf,7,"['/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_025.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_026.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_027.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_028.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_029.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_030.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_031.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_032.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_033.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_034.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_035.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_036.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_037.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_038.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_039.png', '/Users/yuvenblowria/MLPR/data/Lwuwokuhrf/Lwuwokuhrf_L_040.png']",[],"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",[]
ID_147245_X3bsuc,1.8,TMEB419,Early,Wgutyon8uu,3,"['/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_018.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_019.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_020.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_021.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_022.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_023.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_024.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_025.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_026.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_027.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_028.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_029.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_030.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_031.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_032.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_033.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_034.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_035.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_036.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_037.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_038.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_039.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_040.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_041.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_042.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_043.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_044.png', '/Users/yuvenblowria/MLPR/data/Wgutyon8uu/Wgutyon8uu_L_045.png']",[],"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",[]
ID_155140_Uzajyt,0.9,TMEB693,Early,Bb02c5k7wm,5,"['/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_022.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_023.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_024.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_025.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_026.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_027.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_028.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_029.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_030.png', '/Users/yuvenblowria/MLPR/data/Bb02c5k7wm/Bb02c5k7wm_L_031.png']",[],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",[]
ID_155623_Imbwek,2.3,IBA980581,Early,Kjvcz6bjfj,5,"['/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_024.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_025.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_026.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_027.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_028.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_029.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_030.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_031.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_032.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_033.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_034.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_035.png', '/Users/yuvenblowria/MLPR/data/Kjvcz6bjfj/Kjvcz6bjfj_L_036.png']",[],"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",[]
ID_157206_Vnoejp,2.5,DIXON,Early,Ot13d4nq6t,5,"['/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_041.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_042.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_043.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_044.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_045.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_046.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_047.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_048.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_049.png', '/Users/yuvenblowria/MLPR/data/Ot13d4nq6t/Ot13d4nq6t_L_050.png']",[],"[41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",[]
ID_162228_Fl5bjt,0.5,DIXON,Early,Yznlv6wrsh,2,"['/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_030.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_031.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_032.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_033.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_034.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_035.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_036.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_037.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_038.png', '/Users/yuvenblowria/MLPR/data/Yznlv6wrsh/Yznlv6wrsh_L_039.png']",[],"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",[]
ID_162495_Ppjteb,0.5,TMEB419,Early,Pucqtyga9u,2,[],"['/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_037.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_038.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_039.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_040.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_041.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_042.png', '/Users/yuvenblowria/MLPR/data/Pucqtyga9u/Pucqtyga9u_R_043.png']",[],"[37, 38, 39, 40, 41, 42, 43]"
ID_164571_C087eg,4.5,IITA-TMS-IBA000070,Early,Qhqftdiz4q,4,"['/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_028.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_029.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_030.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_031.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_032.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_033.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_034.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_035.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_036.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_037.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_L_038.png']",[],"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",[]
ID_167189_Lxr1uc,1.3,TMEB419,Early,B5myqsh1wi,4,[],"['/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_026.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_027.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_028.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_029.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_030.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_031.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_032.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_033.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_034.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_035.png']",[],"[26, 27, 28, 29, 30, 31, 32, 33, 34, 35]"
ID_168517_Lb0hq7,0.9,IBA154810,Early,Mrw7chmalv,3,[],"['/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_030.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_031.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_032.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_033.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_034.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_035.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_036.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_037.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_038.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_039.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_040.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_041.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_042.png', '/Users/yuvenblowria/MLPR/data/Mrw7chmalv/Mrw7chmalv_R_043.png']",[],"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]"
